calls_per_hour,avg_call_duration,contact_degree,spam_report_count,is_spam
43.02,3.34,0,28,1
3.85,61.78,5,0,0
0.63,220.28,3,0,0
1.15,207.38,10,0,0
7.29,160.61,6,0,0
86.15,1.2,0,18,1
65.36,3.57,0,21,1
7.28,215.54,7,0,0
44.61,4.39,0,26,1
62.38,6.28,0,19,1
2.17,205.27,7,0,0
53.25,9.12,0,25,1
39.13,3.53,0,18,1
1.29,271.94,3,0,0
1.42,212.06,9,0,0
55.42,12.02,0,11,1
1.63,189.24,7,0,0
54.9,31.4,0,20,1
49.93,4.53,0,11,1
2.37,176.59,4,0,0
2.35,94.72,3,1,0
4.85,25.0,3,0,0
35.76,14.59,0,16,1
3.95,204.37,7,0,0
46.13,2.62,0,26,1
49.93,2.74,0,26,1
55.96,24.66,0,7,1
4.87,228.42,13,0,0
43.41,8.69,0,19,1
1.69,119.15,3,0,0
1.39,152.47,4,0,0
2.51,104.76,5,0,0
50.94,5.2,0,38,1
40.58,11.14,0,16,1
0.73,216.5,3,0,0
2.12,64.08,4,0,0
37.79,23.66,1,6,1
2.19,224.05,2,0,0
4.68,103.35,4,0,0
79.65,12.6,1,18,1
102.65,5.02,0,13,1
7.5,176.01,5,0,0
0.91,226.66,4,0,0
4.34,169.32,6,0,0
3.96,198.37,7,0,0
1.45,248.42,3,0,0
2.02,153.82,7,0,0
2.93,59.16,7,0,0
6.88,235.58,3,0,0
4.01,88.47,5,0,0
8.73,279.17,6,0,0
3.34,85.98,4,2,0
5.58,222.19,6,1,0
2.65,196.68,7,0,0
51.47,1.51,0,4,1
1.73,125.84,7,0,0
1.69,139.21,7,0,0
1.53,227.78,5,0,0
3.88,206.11,2,0,0
3.45,68.0,6,0,0
6.63,244.69,4,0,0
44.34,7.82,1,14,1
7.97,160.09,8,0,0
3.84,99.59,6,0,0
2.33,220.99,4,0,0
5.01,129.94,7,0,0
1.13,121.15,5,0,0
2.88,227.56,9,0,0
3.37,178.08,4,0,0
0.97,287.8,10,0,0
43.91,14.09,0,19,1
2.53,330.33,8,0,0
3.78,75.63,5,0,0
3.6,179.26,4,0,0
2.61,221.76,3,0,0
1.8,110.66,2,0,0
3.67,197.6,3,0,0
62.51,1.67,0,15,1
4.28,101.27,4,1,0
27.8,2.63,1,14,1
0.75,262.99,5,0,0
7.55,159.29,8,1,0
11.95,201.58,2,0,0
68.24,1.78,0,11,1
2.32,217.78,7,0,0
1.72,169.35,5,0,0
48.45,13.96,1,15,1
3.46,181.93,10,1,0
2.6,112.46,3,0,0
1.73,190.93,4,0,0
67.01,9.21,0,14,1
6.68,232.37,5,0,0
4.22,134.3,7,0,0
78.85,4.94,0,25,1
1.63,200.15,7,0,0
5.78,194.81,12,0,0
49.3,8.85,0,17,1
3.65,220.9,2,0,0
57.63,25.25,0,20,1
86.45,3.32,0,16,1
4.08,52.56,4,0,0
1.48,191.56,5,0,0
5.34,296.61,11,0,0
4.64,131.64,6,0,0
63.94,2.92,0,34,1
1.73,159.11,5,0,0
3.12,242.89,3,0,0
101.63,5.87,0,20,1
1.19,186.46,9,0,0
3.44,234.76,3,0,0
4.08,186.32,7,0,0
112.6,27.68,0,9,1
2.76,136.59,4,0,0
48.84,17.15,1,20,1
4.06,234.1,5,0,0
2.4,218.66,6,0,0
10.09,203.84,2,0,0
2.85,185.83,4,0,0
4.22,152.11,3,1,0
1.78,160.14,4,0,0
2.1,140.63,9,0,0
4.19,151.33,5,0,0
42.87,3.08,0,18,1
1.64,143.56,7,0,0
37.76,12.18,0,26,1
1.91,168.66,6,1,0
2.92,177.56,3,0,0
0.69,242.4,8,0,0
3.51,214.74,10,0,0
3.5,203.57,8,0,0
2.12,216.9,12,0,0
46.03,15.17,1,65,1
39.14,2.09,0,17,1
63.51,4.84,0,15,1
2.08,125.65,9,0,0
1.56,184.13,7,0,0
56.49,4.06,0,11,1
2.47,163.39,7,1,0
3.8,225.98,5,0,0
1.58,189.31,7,0,0
43.83,10.96,0,38,1
7.83,151.49,9,0,0
8.99,234.41,3,0,0
0.84,139.26,9,0,0
4.17,213.17,5,0,0
60.2,10.02,0,14,1
47.95,4.17,1,6,1
4.65,126.12,8,0,0
2.77,142.45,5,0,0
1.2,179.19,9,0,0
1.99,150.2,1,0,0
2.22,305.96,3,0,0
3.51,205.22,8,0,0
64.44,4.82,0,37,1
1.03,208.04,7,0,0
2.37,108.66,7,0,0
4.58,181.27,3,0,0
2.88,172.92,3,0,0
44.77,34.34,0,6,1
4.02,224.11,6,0,0
3.1,155.44,6,0,0
4.56,209.12,3,1,0
53.13,22.28,0,18,1
50.86,1.67,0,28,1
98.46,9.08,1,14,1
39.69,12.46,0,13,1
1.48,177.3,7,0,0
6.65,178.49,8,0,0
5.31,189.8,5,0,0
71.4,5.04,0,20,1
46.88,1.76,0,14,1
1.42,208.69,4,0,0
5.11,185.48,5,1,0
1.47,129.51,6,0,0
33.63,12.46,1,6,1
3.36,218.62,4,0,0
2.23,264.85,8,0,0
4.8,129.37,11,0,0
3.34,157.22,5,0,0
54.01,5.91,0,22,1
4.76,260.22,4,1,0
2.82,92.47,8,0,0
3.83,136.51,8,1,0
50.43,6.72,0,7,1
44.8,1.42,0,6,1
59.07,14.36,0,8,1
28.8,24.52,0,11,1
90.47,6.63,0,10,1
1.53,180.98,8,0,0
2.59,189.43,7,0,0
2.4,248.53,11,0,0
2.32,90.27,6,0,0
2.9,174.23,8,0,0
54.89,3.16,0,25,1
80.0,26.03,0,9,1
4.41,149.03,9,0,0
55.88,11.04,0,15,1
0.83,89.82,3,0,0
65.12,2.16,0,16,1
4.66,85.84,12,0,0
5.1,171.39,8,0,0
2.38,100.05,8,0,0
2.11,184.97,3,0,0
42.11,15.22,0,11,1
6.99,65.63,4,0,0
3.39,110.75,10,0,0
3.69,38.11,8,1,0
2.71,92.38,7,0,0
2.01,183.9,9,0,0
6.43,205.34,4,0,0
4.92,208.23,3,0,0
3.55,170.39,7,0,0
1.76,74.67,9,0,0
2.22,116.45,7,0,0
1.26,106.23,14,2,0
2.38,248.97,8,0,0
2.63,233.48,5,0,0
46.61,8.26,0,17,1
52.2,5.97,1,16,1
46.57,13.45,0,30,1
72.66,18.36,1,53,1
2.65,130.63,7,0,0
3.17,216.9,7,0,0
4.97,136.8,8,0,0
42.94,13.46,0,17,1
69.52,2.33,0,15,1
4.21,173.87,5,0,0
37.61,3.6,0,10,1
5.47,133.19,3,0,0
2.45,254.23,6,0,0
1.49,197.83,9,0,0
47.08,8.49,0,10,1
4.38,257.71,3,0,0
1.64,177.75,5,0,0
2.28,129.89,4,0,0
4.4,199.44,5,0,0
1.96,120.78,5,0,0
1.44,221.07,13,0,0
1.24,176.58,5,0,0
53.09,6.64,0,28,1
2.41,205.7,5,1,0
2.09,154.06,10,0,0
53.62,18.24,0,20,1
1.34,175.97,4,0,0
4.47,72.42,7,0,0
48.38,10.98,0,16,1
1.53,165.73,12,0,0
50.7,33.39,0,16,1
4.58,247.26,8,0,0
1.56,109.93,8,1,0
64.79,2.16,1,29,1
3.27,163.93,3,0,0
1.57,188.66,8,1,0
57.6,4.01,0,11,1
64.71,12.81,0,18,1
32.6,1.87,0,14,1
2.53,107.43,9,0,0
4.44,127.92,6,0,0
3.28,224.85,4,0,0
1.86,142.9,3,0,0
31.86,3.97,0,16,1
58.21,11.5,1,9,1
4.23,169.71,7,0,0
49.72,10.5,0,18,1
8.55,145.31,8,0,0
2.74,248.89,4,0,0
1.86,244.47,9,0,0
1.75,112.57,5,0,0
1.92,231.31,3,0,0
2.7,270.16,6,0,0
2.79,120.78,8,1,0
2.37,242.8,4,0,0
2.86,200.59,7,0,0
59.12,10.04,0,38,1
3.38,204.82,9,0,0
5.4,320.74,3,0,0
3.11,170.28,5,0,0
2.97,120.06,5,0,0
2.72,216.81,3,0,0
2.89,263.81,3,0,0
3.98,124.43,8,0,0
0.91,203.86,7,1,0
75.8,6.65,0,10,1
1.95,259.79,9,2,0
3.87,152.94,7,0,0
4.4,156.83,10,2,0
1.24,154.58,5,0,0
56.82,3.1,0,15,1
31.29,9.03,0,18,1
4.82,204.14,8,0,0
5.01,295.41,2,0,0
1.9,61.15,4,0,0
1.25,233.89,6,0,0
1.37,181.47,11,0,0
3.1,115.94,9,0,0
73.39,14.08,0,16,1
4.45,142.19,4,0,0
57.1,10.35,0,12,1
45.13,15.09,0,17,1
46.18,8.73,0,15,1
38.86,8.79,0,6,1
3.04,231.85,4,0,0
0.89,104.8,7,0,0
2.78,217.54,10,0,0
3.77,119.04,6,0,0
5.57,120.11,4,0,0
1.59,188.52,7,0,0
1.27,120.53,6,0,0
80.03,3.01,0,21,1
55.32,9.84,0,12,1
1.46,116.63,2,0,0
54.77,4.34,0,25,1
41.65,1.04,0,27,1
3.32,66.83,6,0,0
3.09,112.77,3,0,0
64.23,9.5,0,15,1
1.9,263.42,9,0,0
2.6,153.96,1,0,0
6.13,228.51,3,0,0
3.11,228.04,6,0,0
3.7,111.02,1,0,0
2.41,200.12,2,1,0
51.49,3.62,0,14,1
4.17,172.57,6,0,0
4.0,154.0,6,0,0
2.11,87.95,7,0,0
2.15,186.39,12,0,0
8.49,260.77,3,0,0
8.58,58.5,4,0,0
1.77,115.89,5,0,0
55.77,7.2,1,23,1
2.09,77.36,5,0,0
3.58,206.31,5,0,0
1.89,99.0,4,0,0
3.04,138.97,6,1,0
2.98,256.48,4,0,0
2.55,217.4,5,0,0
4.04,244.99,7,0,0
2.42,224.46,9,0,0
3.48,142.2,3,0,0
4.15,25.0,5,0,0
1.3,180.11,8,1,0
89.55,6.16,0,21,1
3.48,204.95,8,0,0
52.34,9.54,0,16,1
2.28,93.36,5,0,0
2.66,47.05,6,0,0
2.34,198.54,9,0,0
1.36,136.79,4,0,0
35.27,33.26,0,22,1
44.05,9.33,0,35,1
5.18,161.43,4,0,0
2.35,191.51,7,1,0
4.54,195.41,4,0,0
2.9,223.36,8,0,0
68.67,4.31,0,31,1
5.54,238.59,8,1,0
4.41,118.94,2,0,0
48.74,8.43,0,21,1
2.61,163.9,4,1,0
104.0,10.53,0,13,1
2.42,139.96,8,0,0
5.06,102.11,9,0,0
2.27,272.17,8,0,0
0.95,132.24,7,0,0
5.77,220.62,5,0,0
45.78,1.41,0,18,1
46.97,1.44,0,24,1
2.93,177.07,7,0,0
2.81,236.85,10,0,0
3.04,90.89,4,0,0
2.43,92.1,12,0,0
5.71,274.55,9,0,0
3.21,124.54,9,0,0
3.1,84.85,5,0,0
0.77,229.99,5,0,0
6.08,101.07,5,0,0
5.19,219.74,12,0,0
49.2,4.69,0,12,1
4.97,117.0,6,0,0
1.24,206.97,4,0,0
41.19,8.39,0,15,1
55.68,19.87,0,32,1
53.78,1.87,0,28,1
35.55,5.32,0,34,1
0.75,216.04,8,0,0
1.4,166.99,8,0,0
4.07,141.09,7,0,0
2.56,199.62,6,0,0
46.51,2.07,1,14,1
3.34,231.84,2,0,0
3.1,188.33,9,0,0
60.9,16.44,0,18,1
5.61,142.25,6,0,0
5.05,185.03,9,0,0
3.35,64.63,1,0,0
2.03,203.74,2,0,0
1.67,167.04,10,0,0
2.69,152.98,5,0,0
52.23,7.18,0,9,1
46.46,7.2,0,18,1
1.56,136.02,4,0,0
48.77,2.08,1,25,1
9.05,126.51,5,0,0
4.56,192.43,7,0,0
1.72,226.23,5,1,0
38.29,21.18,0,7,1
1.98,189.99,6,0,0
5.18,256.11,10,0,0
2.94,250.24,5,1,0
51.96,8.47,0,12,1
1.29,187.06,5,0,0
60.5,9.79,0,17,1
4.09,214.91,2,0,0
62.99,1.72,0,6,1
46.64,7.39,0,17,1
9.88,146.59,1,0,0
4.49,221.07,6,0,0
4.8,181.1,6,0,0
4.0,136.77,5,0,0
4.13,89.17,3,0,0
8.83,109.19,13,0,0
2.43,241.78,5,0,0
0.69,183.15,6,0,0
5.99,237.62,4,0,0
48.29,4.87,0,21,1
70.81,4.21,0,19,1
1.94,128.42,4,0,0
2.77,233.75,8,0,0
45.1,4.34,0,23,1
3.04,193.03,7,0,0
2.93,246.4,9,1,0
5.51,202.87,12,0,0
2.83,127.11,5,1,0
2.97,186.1,4,0,0
1.94,135.74,3,1,0
1.02,209.95,7,0,0
1.37,155.4,5,0,0
2.96,196.8,10,0,0
4.26,57.03,6,0,0
4.51,208.52,9,0,0
1.97,295.58,4,1,0
3.69,197.28,4,0,0
3.74,85.62,7,0,0
6.51,152.67,6,0,0
64.44,21.34,0,21,1
3.19,238.55,5,1,0
1.39,188.6,7,0,0
74.57,1.42,0,22,1
3.01,311.61,4,0,0
47.5,8.36,0,19,1
1.65,172.3,7,0,0
2.74,179.87,6,0,0
4.03,88.04,9,0,0
3.78,109.33,8,0,0
1.65,161.55,5,0,0
7.26,204.89,7,0,0
51.01,12.07,0,11,1
3.38,151.17,5,1,0
43.78,26.86,0,20,1
5.22,206.37,6,0,0
3.11,101.31,8,0,0
46.72,12.04,0,30,1
55.83,6.01,0,18,1
0.92,271.21,2,0,0
4.97,262.64,5,0,0
2.02,192.45,7,0,0
3.32,225.85,5,0,0
2.72,86.58,9,0,0
1.28,126.07,4,0,0
2.29,214.35,6,0,0
3.9,154.04,6,0,0
37.48,2.65,0,22,1
3.68,149.24,2,0,0
1.21,178.36,4,0,0
49.22,2.99,0,13,1
54.37,2.45,0,11,1
38.71,8.73,0,30,1
2.29,95.56,3,0,0
5.71,105.3,5,0,0
5.95,279.03,9,0,0
4.77,209.8,5,0,0
3.23,221.94,7,1,0
64.02,8.46,0,18,1
43.29,10.8,0,15,1
53.7,3.32,0,11,1
47.02,14.35,0,15,1
4.4,275.07,6,0,0
36.62,3.33,0,15,1
2.67,114.86,4,0,0
1.75,257.18,8,0,0
46.13,9.49,0,17,1
1.61,263.44,8,0,0
1.39,71.5,5,0,0
4.33,164.52,8,0,0
3.32,166.41,4,0,0
4.93,137.78,6,0,0
8.49,259.83,8,0,0
1.3,181.98,8,1,0
2.71,200.27,4,0,0
32.74,1.75,0,38,1
2.13,271.61,8,0,0
3.4,173.18,7,0,0
0.91,109.93,2,0,0
7.93,137.69,7,0,0
4.04,195.75,10,0,0
3.56,312.58,8,0,0
34.76,41.9,0,29,1
3.54,295.12,9,0,0
4.59,209.08,6,0,0
2.93,201.46,9,0,0
6.79,205.03,8,0,0
3.5,25.0,6,1,0
28.78,3.25,0,22,1
1.2,199.96,4,0,0
8.48,249.75,5,0,0
2.09,181.86,6,0,0
0.94,124.67,5,0,0
27.42,13.66,0,26,1
1.6,216.91,7,0,0
4.36,252.55,5,0,0
4.12,185.96,10,1,0
2.43,131.86,12,1,0
4.14,154.06,4,0,0
2.84,281.0,6,0,0
5.35,191.09,9,0,0
3.5,114.68,6,0,0
2.89,127.2,3,0,0
54.85,4.04,0,11,1
2.37,189.04,4,0,0
2.75,161.28,3,0,0
85.37,5.31,0,11,1
3.99,62.9,5,0,0
5.77,226.92,5,0,0
3.41,160.4,5,0,0
10.48,121.3,4,0,0
77.34,5.91,0,9,1
3.29,302.67,6,0,0
2.47,134.27,6,0,0
4.46,168.77,6,0,0
3.68,233.86,3,0,0
66.65,21.17,0,35,1
1.05,167.09,5,1,0
4.58,128.21,5,0,0
2.59,227.05,5,0,0
1.09,105.03,5,0,0
2.11,259.69,7,0,0
1.99,94.12,4,0,0
2.86,217.38,8,0,0
3.2,37.26,6,0,0
4.45,167.56,3,0,0
1.87,230.55,6,0,0
1.67,185.36,4,0,0
2.07,112.36,6,0,0
1.46,191.86,1,0,0
5.63,190.98,6,1,0
2.84,127.87,3,0,0
61.36,8.38,1,5,1
2.0,159.33,4,0,0
27.34,6.11,0,38,1
4.21,161.46,9,0,0
47.85,2.52,0,8,1
6.96,172.46,8,0,0
1.54,241.88,9,0,0
57.14,22.95,0,15,1
46.3,5.24,0,11,1
5.13,93.68,6,0,0
2.3,80.87,10,0,0
3.9,227.91,6,1,0
2.05,80.09,7,0,0
2.0,133.87,4,0,0
4.97,275.37,7,0,0
3.22,131.12,8,0,0
35.07,11.44,0,10,1
6.47,197.71,4,0,0
3.05,276.34,9,0,0
56.03,10.6,0,17,1
4.44,203.14,2,0,0
4.29,119.74,5,0,0
2.13,262.69,2,0,0
47.99,7.46,0,12,1
42.21,4.63,0,24,1
1.98,168.95,8,0,0
2.13,162.98,8,0,0
5.6,256.67,5,0,0
36.94,4.2,0,6,1
82.24,4.76,0,7,1
31.53,19.32,0,7,1
79.1,8.0,0,37,1
3.48,252.21,7,0,0
1.03,215.94,5,0,0
1.75,206.54,8,0,0
43.74,19.2,0,40,1
7.05,137.88,9,0,0
5.81,196.92,8,0,0
0.92,136.06,5,0,0
5.21,101.11,3,0,0
28.99,20.2,0,37,1
0.74,198.42,7,0,0
44.55,1.49,0,6,1
41.27,3.34,0,21,1
6.09,214.12,7,0,0
3.15,258.67,1,0,0
7.77,179.28,4,0,0
59.45,6.23,1,8,1
66.74,6.25,0,22,1
2.38,222.11,8,1,0
60.93,2.96,0,33,1
4.26,148.36,7,0,0
48.3,1.4,0,21,1
2.95,156.54,8,0,0
3.78,155.78,7,0,0
77.16,5.69,0,14,1
2.07,193.8,5,0,0
7.6,265.17,8,0,0
2.22,174.19,6,0,0
0.77,172.15,2,0,0
2.86,161.34,7,0,0
3.74,98.83,3,0,0
4.51,271.47,6,0,0
2.64,264.09,11,1,0
4.42,219.49,4,0,0
4.03,182.06,5,0,0
9.49,119.53,3,0,0
7.0,149.98,5,0,0
2.7,166.15,8,0,0
1.48,74.08,4,0,0
3.38,173.77,5,0,0
1.82,226.57,6,0,0
3.87,228.56,11,0,0
4.12,112.89,7,0,0
5.7,48.48,4,0,0
3.39,145.35,4,0,0
1.69,206.7,8,0,0
1.98,156.64,5,0,0
1.34,264.64,1,0,0
7.96,151.2,12,0,0
1.42,81.82,5,1,0
49.21,6.42,0,4,1
4.12,132.11,8,0,0
4.74,144.98,2,0,0
1.81,160.43,3,0,0
2.45,125.19,9,0,0
2.6,176.42,6,0,0
5.82,141.83,12,0,0
7.55,174.37,5,0,0
46.76,12.56,0,15,1
0.89,219.42,6,0,0
4.13,173.74,5,0,0
0.8,258.29,5,0,0
5.13,221.29,4,0,0
2.3,219.92,4,0,0
58.05,8.83,0,6,1
7.07,157.17,4,0,0
1.69,77.71,3,0,0
7.38,119.96,3,0,0
2.24,173.17,7,0,0
7.53,208.39,5,0,0
4.56,182.25,2,0,0
1.62,207.43,6,0,0
2.37,215.07,4,1,0
1.11,198.08,6,0,0
2.54,62.2,3,0,0
6.18,166.45,10,0,0
32.17,5.86,0,25,1
27.35,8.3,0,35,1
4.2,251.48,1,1,0
4.23,95.79,11,0,0
5.81,153.2,4,0,0
2.13,238.87,5,0,0
1.77,147.0,6,0,0
6.98,153.25,3,0,0
4.4,117.65,7,0,0
79.6,2.37,0,11,1
73.83,5.87,0,18,1
3.78,187.06,1,1,0
33.6,12.34,0,31,1
39.21,10.19,1,26,1
70.23,2.88,0,28,1
7.85,203.51,5,0,0
9.01,275.58,4,0,0
3.33,239.12,1,0,0
4.18,155.63,6,0,0
1.73,116.53,3,0,0
39.63,4.14,0,14,1
2.94,73.57,6,0,0
4.42,66.02,4,0,0
42.25,13.57,0,17,1
1.15,251.47,7,0,0
42.1,3.3,0,15,1
3.62,63.49,8,0,0
1.53,153.74,4,0,0
2.55,191.61,3,0,0
1.24,251.47,8,0,0
87.75,3.2,0,13,1
2.36,158.09,10,0,0
0.9,197.24,4,0,0
3.55,47.83,12,0,0
8.65,195.53,6,0,0
46.26,6.2,0,10,1
42.51,2.29,0,8,1
3.61,243.37,7,0,0
7.68,299.12,5,0,0
3.31,142.85,5,0,0
4.28,276.01,6,0,0
1.09,144.74,4,0,0
45.2,8.69,0,12,1
3.62,128.77,7,0,0
5.74,109.08,8,0,0
1.75,154.57,8,0,0
2.58,138.65,8,0,0
5.14,190.18,2,0,0
1.97,167.25,5,0,0
1.33,203.11,4,0,0
83.47,13.53,0,6,1
11.19,284.69,4,0,0
3.28,254.7,5,0,0
3.17,210.19,3,0,0
4.73,109.01,9,0,0
3.43,189.03,3,1,0
4.41,114.19,5,0,0
4.9,249.78,8,0,0
68.61,33.86,0,8,1
6.85,218.93,1,0,0
72.33,3.54,0,15,1
3.5,86.91,4,0,0
44.8,2.16,1,9,1
5.23,215.97,5,0,0
2.36,173.09,3,0,0
2.03,261.14,4,0,0
3.78,153.13,7,1,0
1.57,167.18,2,0,0
45.17,6.88,0,7,1
1.88,149.54,6,0,0
61.73,9.45,0,4,1
4.81,222.12,9,0,0
74.7,25.43,0,48,1
3.84,103.84,3,0,0
67.1,5.68,0,17,1
68.54,2.53,0,19,1
4.03,179.45,5,0,0
7.76,300.27,6,0,0
3.27,260.13,7,0,0
6.92,168.38,6,0,0
5.76,193.06,9,0,0
3.23,181.08,8,0,0
76.0,2.71,0,30,1
1.19,170.29,5,0,0
42.2,18.17,0,16,1
1.49,69.98,9,0,0
8.37,179.07,6,0,0
1.31,279.91,6,0,0
6.64,200.72,5,0,0
75.42,1.63,0,34,1
2.52,224.4,2,0,0
39.56,22.66,0,20,1
64.14,7.76,0,21,1
5.57,164.13,7,1,0
2.46,152.54,6,0,0
2.2,188.34,9,0,0
6.52,171.17,3,0,0
1.86,122.96,6,0,0
8.24,182.01,9,0,0
3.54,146.85,4,1,0
3.95,197.48,8,0,0
3.92,202.68,3,0,0
59.15,3.04,0,27,1
3.84,95.6,9,0,0
5.14,156.95,8,0,0
48.78,1.83,0,28,1
47.88,4.49,0,17,1
1.45,292.14,8,0,0
3.74,274.11,5,0,0
38.06,8.34,0,28,1
3.92,151.22,3,0,0
41.28,23.86,0,23,1
36.74,9.22,1,17,1
3.58,140.46,9,0,0
5.4,159.64,4,0,0
7.25,205.68,6,0,0
40.89,10.34,0,9,1
2.65,260.95,8,1,0
5.32,157.49,5,0,0
7.24,214.83,5,0,0
4.04,209.35,8,0,0
2.39,106.54,6,1,0
1.45,260.82,3,0,0
78.99,39.63,0,19,1
1.88,246.3,4,0,0
2.17,113.26,3,1,0
3.43,109.14,6,1,0
6.82,152.99,9,0,0
6.69,132.77,9,0,0
0.86,236.58,6,0,0
2.18,279.84,4,0,0
81.25,45.0,0,32,1
4.1,291.12,6,0,0
3.76,220.15,9,1,0
0.73,163.17,3,0,0
3.36,277.59,8,0,0
2.36,247.3,7,0,0
6.81,197.25,7,0,0
2.55,250.59,6,1,0
27.33,3.44,0,20,1
2.72,157.13,4,0,0
2.84,118.22,6,0,0
1.04,137.39,12,0,0
3.4,233.65,2,1,0
45.48,2.72,1,40,1
5.07,133.65,5,0,0
0.75,196.15,12,0,0
2.17,267.33,5,2,0
2.87,172.83,6,0,0
1.14,284.68,8,1,0
1.52,77.93,7,0,0
56.52,10.71,0,15,1
2.6,192.51,4,0,0
2.8,200.33,7,0,0
52.25,13.63,0,35,1
51.85,2.32,0,25,1
5.8,255.83,6,0,0
50.41,6.73,0,19,1
1.96,147.05,4,0,0
2.66,198.96,7,0,0
2.58,155.75,6,0,0
3.15,227.88,7,0,0
4.31,217.14,9,0,0
4.09,107.36,11,0,0
2.48,25.0,3,0,0
52.43,4.44,0,6,1
8.34,149.72,7,0,0
4.0,180.53,6,0,0
33.29,2.33,1,10,1
4.62,192.85,5,0,0
1.97,149.73,7,1,0
8.78,25.0,4,0,0
5.29,233.12,5,1,0
27.87,1.38,0,10,1
7.53,95.86,5,0,0
2.11,91.06,2,0,0
63.84,3.07,0,9,1
3.0,165.4,5,0,0
1.41,173.79,4,0,0
2.48,112.73,7,0,0
2.9,269.41,8,1,0
3.07,213.59,6,0,0
3.3,90.45,7,0,0
5.18,177.7,8,0,0
36.26,4.47,0,12,1
5.85,141.94,9,0,0
3.09,152.84,5,0,0
51.88,13.03,0,19,1
42.15,11.79,1,11,1
37.39,9.04,0,14,1
48.27,10.41,0,9,1
42.67,1.88,0,14,1
37.25,11.03,0,10,1
69.65,19.57,0,21,1
41.29,9.1,0,16,1
1.14,140.81,2,0,0
30.64,20.53,0,15,1
1.55,197.83,5,0,0
68.4,9.62,1,7,1
1.97,171.74,4,0,0
2.04,206.69,5,0,0
3.71,183.95,7,0,0
2.98,200.04,4,0,0
2.58,131.98,9,0,0
43.0,6.49,0,14,1
5.05,278.36,5,0,0
58.4,2.58,0,10,1
3.7,124.3,4,0,0
2.55,188.11,9,0,0
60.24,3.07,0,26,1
5.95,93.27,7,0,0
3.67,140.35,6,0,0
3.76,211.97,7,0,0
1.95,204.74,4,0,0
65.17,3.26,0,7,1
2.8,151.94,8,0,0
53.88,6.28,0,32,1
4.41,174.16,5,0,0
35.98,6.2,0,16,1
73.61,4.31,0,10,1
2.11,199.26,4,0,0
37.27,1.48,0,12,1
4.09,153.4,6,0,0
1.42,167.27,5,0,0
76.5,8.73,0,26,1
71.69,6.36,0,6,1
2.75,165.97,8,0,0
45.27,15.45,0,27,1
34.84,3.46,0,16,1
41.51,16.4,0,11,1
1.84,126.57,3,0,0
2.85,100.26,3,0,0
2.36,117.31,5,0,0
48.96,5.05,0,21,1
2.8,263.32,5,1,0
3.57,213.52,6,1,0
5.48,225.43,4,0,0
6.25,221.19,4,0,0
1.61,245.07,10,0,0
2.45,284.28,8,0,0
4.34,188.5,5,0,0
37.88,3.17,0,6,1
3.86,261.98,3,0,0
2.36,246.76,6,0,0
68.31,9.15,0,16,1
3.78,196.87,6,0,0
84.12,12.84,0,28,1
2.09,197.09,6,0,0
5.26,243.15,9,0,0
32.34,20.04,0,17,1
31.7,23.83,0,7,1
58.73,2.73,0,16,1
2.28,191.09,6,0,0
1.47,74.59,4,0,0
0.7,91.07,6,0,0
6.3,226.79,11,0,0
0.88,231.58,3,0,0
1.01,207.01,6,0,0
57.56,9.84,0,17,1
2.25,254.57,1,0,0
1.9,91.42,2,1,0
4.35,133.55,13,0,0
0.7,208.23,5,0,0
75.63,6.17,0,14,1
63.74,5.57,0,34,1
2.6,303.47,5,0,0
4.12,109.17,5,0,0
7.67,210.06,7,0,0
2.68,104.75,9,0,0
39.79,20.84,0,18,1
63.76,2.63,0,15,1
1.31,183.82,6,0,0
1.31,200.58,5,0,0
4.35,141.73,9,0,0
72.3,2.19,0,17,1
4.57,191.52,5,0,0
6.23,78.72,8,0,0
2.1,286.53,4,0,0
2.4,161.46,4,0,0
1.46,120.73,9,0,0
1.9,146.96,4,0,0
41.15,6.25,0,16,1
2.34,141.79,8,0,0
5.11,176.14,6,0,0
4.67,171.63,12,0,0
2.46,150.35,8,0,0
1.7,142.38,7,0,0
1.78,215.61,12,0,0
11.6,215.85,5,0,0
42.72,8.06,0,17,1
1.33,218.11,4,2,0
4.75,171.31,7,0,0
3.68,134.96,10,0,0
2.34,248.17,2,0,0
33.08,7.14,1,22,1
36.32,17.52,0,15,1
4.37,152.45,10,0,0
4.76,185.47,7,0,0
7.3,196.13,5,0,0
44.34,8.14,0,31,1
48.76,5.56,0,38,1
73.17,4.1,0,16,1
4.77,140.82,3,0,0
4.33,165.16,9,0,0
50.2,3.31,0,30,1
3.01,184.18,5,0,0
50.86,18.85,0,17,1
4.44,53.41,6,1,0
0.86,298.44,8,0,0
1.15,198.39,6,0,0
2.46,222.8,3,0,0
73.4,5.2,0,11,1
70.7,8.18,1,8,1
6.73,198.14,2,0,0
40.43,2.43,0,36,1
2.72,225.42,7,0,0
1.78,215.95,5,0,0
2.96,273.07,5,0,0
3.91,219.21,4,0,0
58.5,1.18,0,18,1
75.8,2.28,0,7,1
1.3,170.97,3,0,0
4.99,151.75,9,0,0
4.32,134.02,8,0,0
44.46,3.9,0,20,1
1.54,219.82,6,0,0
3.54,266.79,7,0,0
3.62,162.01,6,0,0
3.35,87.3,6,0,0
7.72,215.28,11,1,0
69.25,12.2,0,11,1
1.7,192.9,1,0,0
56.42,14.03,0,17,1
